product,group,2024H1,2024H2,2025H1,2025H2
Current accounts,Banking,492289,491172,541493,492149
Credit cards,Banking,222529,217160,211903,218456
Motor / transport insurance,Insurance,276795,254788,234015,215708
Other general insurance,Insurance,118599,123916,113789,111903
Property insurance,Insurance,100431,91892,94186,88851
Savings,Banking,83392,80592,89919,82465
Medical / health insurance,Insurance,95886,77075,76182,70619
Warranty insurance,Insurance,53576,51530,65083,61571
Other regulated home finance,Home Finance,70619,63670,60395,58073
Non-workplace pensions,Pensions,50831,49383,52395,49094
Travel insurance,Insurance,27551,29280,27813,33199
Overdrafts,Banking,15586,13290,16188,26456
Whole life / term / critical illness,Insurance,24674,23622,24950,23955
Other banking,Banking,22151,21404,24463,23166
Pet insurance,Insurance,28019,27748,23764,22902
ISAs / investments,Investments,22737,18483,22022,18462
Assistance insurance,Insurance,18125,20370,18236,18313
Workplace pensions,Pensions,16341,16413,16860,17516
Packaged accounts,Banking,15080,15959,15944,15065
Other unregulated home finance,Home Finance,16759,14738,12128,12110
GI packaged multi,Insurance,14866,12203,13003,10707
Investment bonds,Investments,10965,10056,9513,8918
Platforms,Investments,9103,6405,7980,8845
Other investment products,Investments,7528,6620,7910,7862
Annuities,Pensions,9009,7500,7968,7684
Drawdown,Pensions,9037,8232,6751,7506
Trust based pensions,Pensions,7414,6466,8977,5201
Income protection,Insurance,4108,4528,4670,5122
Unit trusts,Investments,4496,4086,3588,3401
Second charge mortgages,Home Finance,3022,2639,3418,3097
Equity release,Home Finance,2201,2328,2111,1969
Endowments,Investments,3046,2562,2318,1789
FX / CFD,Investments,1153,1052,1184,1331
Protection packaged,Insurance,554,788,797,1171
Discretionary management,Investments,1404,1269,1187,951
Non-discretionary management,Investments,903,854,938,937
Other pure protection,Insurance,466,440,544,798
ETPs,Investments,303,389,464,605
PPI,Insurance,882,558,603,551
Decumulation packaged,Pensions,0,501,434,520
Impaired credit mortgages,Home Finance,633,561,564,409
Investment trusts,Investments,508,415,444,353
Crowdfunding,Investments,292,306,319,268
UCITS,Investments,187,209,246,252
Structured products,Investments,131,152,94,235
Other pensions,Pensions,286,537,481,196
Investment packaged,Investments,73,115,98,71
Other decumulation,Pensions,29,33,61,49
Third way products,Pensions,75,67,67,48
Pensions packaged,Pensions,22,41,41,30
